size_x,size_y
100,100
x,y,d
0,99,0
1,99,0
2,99,0
3,99,0
4,99,0
5,99,0
6,99,0
7,99,0
8,99,0
9,99,0
10,99,0
11,99,0
12,99,0
13,99,0
14,99,0
15,99,0
16,99,0
17,99,0
18,99,0
19,99,0
20,99,0
21,99,0
22,99,0
23,99,0
24,99,0
25,99,0
26,99,0
27,99,0
28,99,0
29,99,0
30,99,0
31,99,0
32,99,0
33,99,0
34,99,0
35,99,0
36,99,0
37,99,0
38,99,0
39,99,0
40,99,0
41,99,0
42,99,0
43,99,0
44,99,0
45,99,0
46,99,0
47,99,0
48,99,0
49,99,0
50,99,0
51,99,0
52,99,0
53,99,0
54,99,0
55,99,0
56,99,0
57,99,0
58,99,0
59,99,0
60,99,0
61,99,0
62,99,0
63,99,0
64,99,0
65,99,0
66,99,0
67,99,0
68,99,0
69,99,0
70,99,0
71,99,0
72,99,0
73,99,0
74,99,0
75,99,0
76,99,0
77,99,0
78,99,0
79,99,0
80,99,0
81,99,0
82,99,0
83,99,0
84,99,0
85,99,0
86,99,0
87,99,0
88,99,0
89,99,0
90,99,0
91,99,0
92,99,0
93,99,0
94,99,0
95,99,0
96,99,0
97,99,0
98,99,0
99,99,0
0,98,0
1,98,0
2,98,0
3,98,0
4,98,0
5,98,0
6,98,0
7,98,0
8,98,0
9,98,0
10,98,0
11,98,0
12,98,0
13,98,0
14,98,0
15,98,0
16,98,0
17,98,0
18,98,0
19,98,0
20,98,0
21,98,0
22,98,0
23,98,0
24,98,0
25,98,0
26,98,0
27,98,0
28,98,0
29,98,0
30,98,0
31,98,0
32,98,0
33,98,0
34,98,0
35,98,0
36,98,0
37,98,0
38,98,0
39,98,0
40,98,0
41,98,0
42,98,0
43,98,0
44,98,0
45,98,0
46,98,0
47,98,0
48,98,0
49,98,0
50,98,0
51,98,0
52,98,0
53,98,0
54,98,0
55,98,0
56,98,0
57,98,0
58,98,0
59,98,0
60,98,0
61,98,0
62,98,0
63,98,0
64,98,0
65,98,0
66,98,0
67,98,0
68,98,0
69,98,0
70,98,0
71,98,0
72,98,0
73,98,0
74,98,0
75,98,0
76,98,0
77,98,0
78,98,0
79,98,0
80,98,0
81,98,0
82,98,0
83,98,0
84,98,0
85,98,0
86,98,0
87,98,0
88,98,0
89,98,0
90,98,0
91,98,0
92,98,0
93,98,0
94,98,0
95,98,0
96,98,0
97,98,0
98,98,0
99,98,0
0,97,0
1,97,0
2,97,0
3,97,0
4,97,0
5,97,0
6,97,0
7,97,0
8,97,0
9,97,0
10,97,0
11,97,0
12,97,0
13,97,0
14,97,0
15,97,0
16,97,0
17,97,0
18,97,0
19,97,0
20,97,0
21,97,0
22,97,0
23,97,0
24,97,0
25,97,0
26,97,0
27,97,0
28,97,0
29,97,0
30,97,0
31,97,0
32,97,0
33,97,0
34,97,0
35,97,0
36,97,0
37,97,0
38,97,0
39,97,0
40,97,0
41,97,0
42,97,0
43,97,0
44,97,0
45,97,0
46,97,0
47,97,0
48,97,0
49,97,0
50,97,0
51,97,0
52,97,0
53,97,0
54,97,0
55,97,0
56,97,0
57,97,0
58,97,0
59,97,0
60,97,0
61,97,0
62,97,0
63,97,0
64,97,0
65,97,0
66,97,0
67,97,0
68,97,0
69,97,0
70,97,0
71,97,0
72,97,0
73,97,0
74,97,0
75,97,0
76,97,0
77,97,0
78,97,0
79,97,0
80,97,0
81,97,0
82,97,0
83,97,0
84,97,0
85,97,0
86,97,0
87,97,0
88,97,0
89,97,0
90,97,0
91,97,0
92,97,0
93,97,0
94,97,0
95,97,0
96,97,0
97,97,0
98,97,0
99,97,0
0,96,0
1,96,0
2,96,0
3,96,0
4,96,0
5,96,0
6,96,0
7,96,0
8,96,0
9,96,0
10,96,0
11,96,0
12,96,0
13,96,0
14,96,0
15,96,0
16,96,0
17,96,0
18,96,0
19,96,0
20,96,0
21,96,0
22,96,0
23,96,0
24,96,0
25,96,0
26,96,0
27,96,0
28,96,0
29,96,0
30,96,0
31,96,0
32,96,0
33,96,0
34,96,0
35,96,0
36,96,0
37,96,0
38,96,0
39,96,0
40,96,0
41,96,0
42,96,0
43,96,0
44,96,0
45,96,0
46,96,0
47,96,0
48,96,0
49,96,0
50,96,0
51,96,0
52,96,0
53,96,0
54,96,0
55,96,0
56,96,0
